Tytuł,Autor,Autor (po nazwisku),Tłumacz,Okładka,Data emisji,Opis audycji,Link
Shuggie Bain,Douglas Stuart,Stuart Douglas,Krzysztof Cieślik,https://static.prsa.pl/images/743c796d-4eb5-46ce-ab30-a85d6fe055e9.jpg?format=500,2021-06-13,Tęsknota za innym światem i Shuggie Bain. Historie podszyte bólem istnienia,"https://www.polskieradio.pl/8/2827/Artykul/2750406,tesknota-za-innym-swiatem-i-shuggie-bain-historie-podszyte-bolem-istnienia"
Czarnolas,Jaga Słowińska,Słowińska Jaga,(nie znaleziono),https://static.prsa.pl/images/139cabf3-7eba-4195-ad14-8f0827546f51.jpg?format=500,2021-06-03,Literackie studium ludzkiego cierpienia,"https://www.polskieradio.pl/8/2827/Artykul/2747010,literackie-studium-ludzkiego-cierpienia"
Informacja zwrotna,Jakub Żulczyk,Żulczyk Jakub,(brak danych),https://static.prsa.pl/images/139cabf3-7eba-4195-ad14-8f0827546f51.jpg?format=500,2021-06-03,Literackie studium ludzkiego cierpienia,"https://www.polskieradio.pl/8/2827/Artykul/2747010,literackie-studium-ludzkiego-cierpienia"
Requiem dla nikogo,Złatko Enew,Enew Złatko,Hanna Karpińska,https://static.prsa.pl/images/2064c56f-c7ce-4734-9f79-69da7da03756.jpg,2021-05-30,Requiem dla nikogo i Taniec wokół słońca. Literatura bałkańska,"https://www.polskieradio.pl/8/2827/Artykul/2741510,requiem-dla-nikogo-i-taniec-wokol-slonca-literatura-balkanska"
Taniec wokół słońca,Vedrana Rudan,Rudan Vedrana,(brak danych),https://static.prsa.pl/images/2064c56f-c7ce-4734-9f79-69da7da03756.jpg,2021-05-30,Requiem dla nikogo i Taniec wokół słońca. Literatura bałkańska,"https://www.polskieradio.pl/8/2827/Artykul/2741510,requiem-dla-nikogo-i-taniec-wokol-slonca-literatura-balkanska"
Małe rączki,Andrés Barba,Barba Andrés,Katarzyna Okrasko,https://static.prsa.pl/images/f3d587ed-54d6-4cbf-8f2a-28d2c1f4c9b4.jpg?format=500,2021-05-23,O dzieciństwie nie zawsze szczęśliwym,"https://www.polskieradio.pl/8/2827/Artykul/2739146,o-dziecinstwie-nie-zawsze-szczesliwym"
Kąkol,Zośka Papużanka,Papużanka Zośka,(brak danych),https://static.prsa.pl/images/f3d587ed-54d6-4cbf-8f2a-28d2c1f4c9b4.jpg?format=500,2021-05-23,O dzieciństwie nie zawsze szczęśliwym,"https://www.polskieradio.pl/8/2827/Artykul/2739146,o-dziecinstwie-nie-zawsze-szczesliwym"
"Dziewczyna, kobieta, inna",Bernardine Evaristo,Evaristo Bernardine,Aga Zano,https://static.prsa.pl/images/607c4b45-7d9b-46b4-8d16-f0071e2bd003.jpg,2021-05-16,"Kobiece narracje: Dziewczyna, kobieta, inna i Wydz. Domysłów","https://www.polskieradio.pl/8/2827/Artykul/2733400,kobiece-narracje-dziewczyna-kobieta-inna-i-wydz-domyslow"
Wydz. Domysłów,Jenny Offill,Offill Jenny,Dobromiła Jankowska,https://static.prsa.pl/images/607c4b45-7d9b-46b4-8d16-f0071e2bd003.jpg,2021-05-16,"Kobiece narracje: Dziewczyna, kobieta, inna i Wydz. Domysłów","https://www.polskieradio.pl/8/2827/Artykul/2733400,kobiece-narracje-dziewczyna-kobieta-inna-i-wydz-domyslow"
Świece w pogańskim gaju,Jiří Kamen,Kamen Jiří,Elżbieta Zimna,https://static.prsa.pl/images/476dd8f2-ebe7-4959-8655-ffff0e1d60cb.jpg,2021-05-08,Świece w pogańskim gaju i Miłość w czasach globalnych zmian klimatycznych. Współczesna literatura czeska,"https://www.polskieradio.pl/8/2827/Artykul/2728999,swiece-w-poganskim-gaju-i-milosc-w-czasach-globalnych-zmian-klimatycznych-wspolczesna-literatura-czeska"
Miłość w czasach globalnych zmian klimatycznych,Josef Pánek,Pánek Josef,(brak danych),https://static.prsa.pl/images/476dd8f2-ebe7-4959-8655-ffff0e1d60cb.jpg,2021-05-08,Świece w pogańskim gaju i Miłość w czasach globalnych zmian klimatycznych. Współczesna literatura czeska,"https://www.polskieradio.pl/8/2827/Artykul/2728999,swiece-w-poganskim-gaju-i-milosc-w-czasach-globalnych-zmian-klimatycznych-wspolczesna-literatura-czeska"
